Crater ID,measured diameter [m],exact lat [deg],exact lon [deg],coords from image ID,Latest before ID,Earliest after ID,formed after,formed before,Comments
Lit8,2.6,26.92,3.94,M106855508RE,as15_p_9430/M102135625R,M106855508RE,2009-07-13,2009-09-06,Apollo image ID
Lit7,2.6,26.48,3.89,M106855508RE,as15_p_9430/M102135625R,M106855508RE,2009-07-14,2009-09-06,Apollo image ID
Lit6,9.7,16.92,40.5,M108971316LE,as15_p_9527,M108971316LE,earlist NAC is after image,2009-09-30,Apollo image ID
Lit5,1,13.73,48.44,M124253664LE,as15_p_9494,M124253664LE,earlist NAC is after image,2010-03-26,Apollo image ID
Lit4,8,15.68,44.9,M126636371LE,as15_p_9508,M126636371LE,earlist NAC is after image,2010-04-23,Apollo image ID
Lit2,50,,,M1152000776,M1151986536,M1152000776,2014-04-13,2014-04-14,
Lit3,43,14.39,331.73,M1144985483L,not identified,M1144985483L,earlist NAC is after image,2014-01-21,
Lit1,34,-17.1661,339.5985,M1149637354L,M1119014742L,M1149637354L,2013-03-27,2014-03-16,
1,17.1,42.59835,257.78288,M1132496422RC,M1101866147RC,M1132496422RC,2012-09-09,2013-08-30,
2,12.3,41.14815,249.89418,M1180855200RC,M1104273380RC,M1180855200RC,2012-10-07,2014-01-28,
3,11.5,36.5359,12.3791,M1147076495LC,M1114093239RC,M1121160416RC,2013-01-29,2013-04-21,
4,11,-28.86733,241.17176,M1178529953RC,M1117295576LC,M1178529953RC,2013-03-07,2015-02-14,
5,6,11.56373,165.42059,M1181394311RC,M1120158780RC,M1174330721LC,2014-12-27,2015-03-19,
6,10.2,-7.49219,324.49495,M1180349656LC,M1157984563LC,M1180349656LC,2014-06-21,2015-03-07,
7,10.2,-2.16787,82.4454,M1113630818RC,M1098309025LC,M1113630818RC,2012-07-30,2013-01-24,
8,10,23.10518,210.06879,M1165784274RC,M1104538070RC,M1165784274RC,2013-02-10,2014-09-19,
9,9.2,22.11479,296.94846,M1182892889LC,M1121657069LC,M1182892889LC,2013-04-26,2014-10-10,
10,8.5,28.28655,293.31871,M1160532378LC,M1129915634RC,M1160532378LC,2013-07-31,2014-07-20,
11,8.5,33.849,34.2789,M1164581951RC,M1146934185RC,M1164581951RC,2014-02-12,2014-09-05,
12,8.5,-9.541,103.76385,M1181791548RC,M174597893LC,M1181791548RC,2011-10-03,2015-03-23,
13,8.3,20.8956,264.55921,M1132461326RC,M1178395869RC,M1132461326RC,2013-08-30,2015-02-12,
14,8.2,19.36167,156.7966,M1150840996RC,M1120215760RC,M1150840996RC,2013-04-10,2014-03-30,
